geode,mean,std,median,inclination,depth_KB,depth_GL,x_deviation,y_deviation
BH001,126.133202567,4.89476779786,126.415903693,1.2816,194.9,190.65,-2.1466,-1.1031
BH010,185.132561419,105.731119505,117.726702214,2.3913,239.9,235.65,-2.9152,-2.3949
BH011,101.958542845,3.81870237782,101.843790945,2.6236,244.9,240.65,-3.0267,-2.6161
BH012,338.133094473,6.03703356965,338.040972639,2.9217,249.9,245.65,-3.1603,-2.8462
BH013,332.958028453,15.2521254046,331.112651696,3.378,254.9,250.65,-3.3272,-3.0943
BH014,120.426470282,3.33092111801,120.50210147,3.7547,259.9,255.65,-3.5227,-3.3591
BH015,100.304092289,4.92059064799,101.271671127,4.0401,264.9,260.65,-3.74,-3.6373
BH016,120.437957439,4.3382233138,121.306343531,4.2333,269.9,265.65,-3.9723,-3.9255
BH017,122.93540782,1.9279074112,122.681721176,4.3876,274.9,270.65,-4.2159,-4.2216
BH018,122.232033128,3.65371532454,122.171424827,4.7019,279.9,275.65,-4.4839,-4.5301
BH019,178.913822974,85.2920803051,177.463785943,5.0034,284.9,280.65,-4.7767,-4.8515
BH002,252.723052526,3.43306875479,252.105776949,1.3095,199.9,195.65,-2.2303,-1.1794
BH021,167.52284367,93.0925599855,105.62339043,5.5379,294.9,290.65,-5.426,-5.5322
BH022,168.305333828,111.975609448,145.205036839,5.7975,299.9,295.65,-5.7795,-5.8912
BH023,192.279457085,114.998631591,205.505554334,6.1317,304.9,300.65,-6.1598,-6.2645
BH024,275.136116997,16.1103691576,274.502311877,6.4544,309.9,305.65,-6.567,-6.652
BH003,172.541600072,105.307223604,172.20287444,1.3674,204.9,200.65,-2.3107,-1.2763
BH004,118.713625553,2.53440432115,119.079409305,1.4518,209.9,205.65,-2.3903,-1.392
BH005,137.533165521,4.43074014735,138.403298602,1.5587,214.9,210.65,-2.4712,-1.5228
BH006,19.2423168146,5.13077136066,18.8971107627,1.6881,219.9,215.65,-2.5554,-1.6648
BH007,99.8748447905,94.6776131344,100.485446785,1.8372,224.9,220.65,-2.6433,-1.8168
BH008,130.522945102,2.02684855997,130.969783505,1.9984,229.9,225.65,-2.7295,-1.9907
BH009,249.31796946,109.861709885,295.906529328,2.1826,234.9,230.65,-2.8181,-2.1849
